region
"[103.969024,30.770796],[104.017428,30.770769],[104.017428,30.722734],[103.969024,30.722734]"
"[104.01743400000001,30.770796],[104.06926899999999,30.770769],[104.06926899999999,30.722734],[104.01743400000001,30.722734]"
"[104.069275,30.770796],[104.12213999999999,30.770769],[104.12213999999999,30.722734],[104.069275,30.722734]"
"[104.122146,30.770796],[104.175699,30.770769],[104.175699,30.722734],[104.122146,30.722734]"
"[103.969024,30.722701],[104.017428,30.722674],[104.017428,30.684359],[103.969024,30.684359]"
"[104.01743400000001,30.722701],[104.06926899999999,30.722674],[104.06926899999999,30.684359],[104.01743400000001,30.684359]"
"[104.069275,30.722701],[104.12213999999999,30.722674],[104.12213999999999,30.684359],[104.069275,30.684359]"
"[104.122146,30.722701],[104.175699,30.722674],[104.175699,30.684359],[104.122146,30.684359]"
"[103.969024,30.684326000000002],[104.017428,30.684299000000003],[104.017428,30.650102999999998],[103.969024,30.650102999999998]"
"[104.01743400000001,30.684326000000002],[104.06926899999999,30.684299000000003],[104.06926899999999,30.650102999999998],[104.01743400000001,30.650102999999998]"
"[104.069275,30.684326000000002],[104.12213999999999,30.684299000000003],[104.12213999999999,30.650102999999998],[104.069275,30.650102999999998]"
"[104.122146,30.684326000000002],[104.175699,30.684299000000003],[104.175699,30.650102999999998],[104.122146,30.650102999999998]"
"[103.969024,30.65007],[104.017428,30.650043],[104.017428,30.625881],[103.969024,30.625881]"
"[104.01743400000001,30.65007],[104.06926899999999,30.650043],[104.06926899999999,30.625881],[104.01743400000001,30.625881]"
"[104.069275,30.65007],[104.12213999999999,30.650043],[104.12213999999999,30.625881],[104.069275,30.625881]"
"[104.122146,30.65007],[104.175699,30.650043],[104.175699,30.625881],[104.122146,30.625881]"
"[103.969024,30.625848],[104.017428,30.625821000000002],[104.017428,30.585693],[103.969024,30.585693]"
"[104.01743400000001,30.625848],[104.06926899999999,30.625821000000002],[104.06926899999999,30.585693],[104.01743400000001,30.585693]"
"[104.069275,30.625848],[104.12213999999999,30.625821000000002],[104.12213999999999,30.585693],[104.069275,30.585693]"
"[104.122146,30.625848],[104.175699,30.625821000000002],[104.175699,30.585693],[104.122146,30.585693]"
