driverID,path
Hwcops.Apfthshrzsrpbgjv6iANkazrn,"[104.07513,30.7270],[104.07497,30.7258],[104.07476,30.7245],[104.07422,30.7237],[104.07481,30.7230],[104.07576,30.7230],[104.04275,30.6922],[104.04326,30.6926],[104.04319,30.6924],[104.04300,30.6919],[104.04283,30.6914],[104.04275,30.6909],[104.04318,30.6907],[104.04394,30.6905],[104.04483,30.6900],[104.04545,30.6895],[104.04553,30.6894],[104.04572,30.6892],[104.04610,30.6888],[104.04668,30.6882],[104.04717,30.6877],[104.04756,30.6873],[104.04698,30.6867],[104.04663,30.6864],[104.04600,30.6860],[104.04566,30.6854],[104.04536,30.6848],[104.04514,30.6843],[104.04490,30.6838],[104.04465,30.6836],[104.04454,30.6834],[104.04445,30.6833],[104.04487,30.6830],[104.04553,30.6829],[104.04557,30.6829],[104.04537,30.6826],[104.04600,30.6829],[104.04717,30.6832],[104.04785,30.6834],[104.04864,30.6836],[104.04927,30.6838],[104.05004,30.6839],[104.05062,30.6840],[104.05110,30.6841],[104.05189,30.6842],[104.05213,30.6843],[104.05239,30.6838],[104.05259,30.6831],[104.05278,30.6824],[104.05300,30.6816],[104.05319,30.6810],[104.05321,30.6809],[104.05326,30.6808],[104.05358,30.6801],[104.05437,30.6796],[104.05519,30.6791],[104.05591,30.6788],[104.05658,30.6786],[104.05707,30.6779],[104.05752,30.6773],[104.05877,30.6768],[104.05937,30.6765],[104.05999,30.6762],[104.05996,30.6756],[104.05991,30.6754],[104.05993,30.6754],[104.05987,30.6754],[104.05960,30.6751],[104.05933,30.6747],[104.05914,30.6722],[104.05930,30.6721],[104.05913,30.6722],[104.05878,30.6723],[104.05852,30.6723],[104.05899,30.6721],[104.05955,30.6719],[104.05975,30.6718],[104.06025,30.6713],[104.06027,30.6706],[104.06028,30.6699],[104.06033,30.6688],[104.06031,30.6675],[104.06033,30.6671],[104.06042,30.6653],[104.06050,30.6649],[104.06050,30.6648],[104.06050,30.6646],[104.06050,30.6644],[104.06050,30.6643],[104.06050,30.6643],[104.06050,30.6643],[104.06050,30.6642],[104.06051,30.6639],[104.06052,30.6637],[104.06053,30.6632],[104.06055,30.6625],[104.06055,30.6620],[104.06056,30.6617],[104.06056,30.6616],[104.06056,30.6613],[104.06056,30.6612],[104.06057,30.6611],[104.06057,30.6609],[104.06057,30.6608],[104.06051,30.6606],[104.06051,30.6603],[104.06051,30.6602],[104.06052,30.6601],[104.06053,30.6596],[104.06054,30.6593],[104.06054,30.6592],[104.06055,30.6591],[104.06057,30.6588],[104.06057,30.6586],[104.06082,30.6582],[104.06110,30.6582],[104.06182,30.6582],[104.06254,30.6582],[104.06328,30.6582],[104.06337,30.6582],[104.06360,30.6582],[104.06367,30.6582],[104.06333,30.6582],[104.10825,30.7266],[104.10802,30.7261],[104.10774,30.7253],[104.10754,30.7247],[104.10728,30.7240],[104.10705,30.7233],[104.10676,30.7227],[104.10647,30.7219],[104.10605,30.7209],[104.10573,30.7201],[104.10526,30.7197],[104.10449,30.7193],[104.10406,30.7191],[104.10332,30.7192],[104.10229,30.7192],[104.10106,30.7192],[104.09999,30.7193],[104.09902,30.7193],[104.09785,30.7194],[104.09671,30.7194],[104.09585,30.7194],[104.09495,30.7194],[104.09346,30.7194],[104.09202,30.7195],[104.09039,30.7197],[104.08866,30.7201],[104.08589,30.7208],[104.08408,30.7213],[104.08237,30.7217],[104.07723,30.7231],[104.07547,30.7235],[104.07232,30.7240],[104.07079,30.7242],[104.06942,30.7244],[104.06774,30.7246],[104.06596,30.7248],[104.06433,30.7250],[104.06267,30.7252],[104.06115,30.7254],[104.05976,30.7256],[104.05764,30.7258],[104.05611,30.7259],[104.05481,30.7260],[104.05373,30.7261],[104.05275,30.7262],[104.05186,30.7263],[104.05098,30.7263],[104.04992,30.7263],[104.04882,30.7264],[104.04813,30.7266],[104.04731,30.7264],[104.04692,30.7260],[104.04717,30.7253],[104.04791,30.7249],[104.04865,30.7241],[104.04914,30.7231],[104.04925,30.7219],[104.04855,30.7208],[104.04851,30.7197],[104.04911,30.7184],[104.04962,30.7176],[104.05024,30.7167],[104.05084,30.7156],[104.05108,30.7143],[104.05086,30.7138],[104.05021,30.7137],[104.04979,30.7137],[104.04952,30.7137],[104.04931,30.7136],[104.04593,30.7147],[104.04593,30.7147],[104.04593,30.7147],[104.04634,30.7147],[104.04635,30.7147],[104.04642,30.7147],[104.04643,30.7147],[104.04643,30.7147],[104.04651,30.7147],[104.04703,30.7143],[104.04754,30.7137],[104.04769,30.7132],[104.04773,30.7129],[104.04779,30.7124],[104.04785,30.7118],[104.04791,30.7112],[104.04790,30.7111],[104.04790,30.7110],[104.04797,30.7105],[104.04806,30.7099],[104.04819,30.7091],[104.04826,30.7084],[104.04830,30.7080],[104.04832,30.7078],[104.04832,30.7078],[104.04832,30.7078],[104.04832,30.7078],[104.04834,30.7075],[104.04889,30.7070],[104.04950,30.7062],[104.04959,30.7061],[104.04962,30.7060],[104.04976,30.7055],[104.04970,30.7048],[104.04965,30.7040],[104.04960,30.7030],[104.05006,30.7023],[104.05054,30.7017],[104.05021,30.7013],[104.04944,30.7008],[104.04854,30.7003],[104.04782,30.6999],[104.04724,30.6995],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04689,30.6993],[104.04671,30.6992],[104.04587,30.6988],[104.04498,30.6983],[104.04457,30.6980],[104.04457,30.6980],[104.04455,30.6980],[104.04443,30.6978],[104.04456,30.6975],[104.04465,30.6972],[104.04462,30.6968],[104.04449,30.6963],[104.04431,30.6957],[104.04415,30.6952],[104.04402,30.6948],[104.04390,30.6943],[104.04394,30.6939],[104.04395,30.6935],[104.04341,30.6932],[104.04297,30.6930],[104.07611,30.7230],[104.07690,30.7229],[104.07819,30.7225],[104.07968,30.7222],[104.08155,30.7217],[104.08317,30.7213],[104.08443,30.7210],[104.08586,30.7206],[104.08752,30.7201],[104.08906,30.7196],[104.09049,30.7194],[104.09211,30.7192],[104.09389,30.7190],[104.09513,30.7190],[104.09620,30.7189],[104.09763,30.7189],[104.09893,30.7188],[104.09999,30.7188],[104.10077,30.7187],[104.10073,30.7182],[104.10060,30.7176],[104.10056,30.7172],[104.10157,30.7169],[104.10249,30.7166],[104.10359,30.7167],[104.10415,30.7165],[104.10405,30.7159],[104.10374,30.7152],[104.10354,30.7145],[104.10352,30.7145],[104.10352,30.7145],[104.10352,30.7145],[104.10352,30.7145],[104.10352,30.7145],[104.10352,30.7145],[104.10337,30.7142],[104.10312,30.7136],[104.10274,30.7128],[104.10245,30.7122],[104.10197,30.7112],[104.10148,30.7104],[104.10099,30.7096],[104.10020,30.7085],[104.09994,30.7081],[104.09994,30.7081],[104.09994,30.7081],[104.09993,30.7081],[104.09993,30.7081],[104.09993,30.7081],[104.09993,30.7080],[104.09984,30.7079],[104.09965,30.7076],[104.10027,30.7069],[104.10064,30.7063],[104.10130,30.7052],[104.10195,30.7041],[104.10212,30.7038],[104.10213,30.7037],[104.10213,30.7037],[104.10213,30.7037],[104.10221,30.7036],[104.10261,30.7030],[104.10305,30.7021],[104.10376,30.7008],[104.10448,30.6998],[104.10515,30.6988],[104.10582,30.6977],[104.10647,30.6967],[104.10696,30.6957],[104.10761,30.6947],[104.10853,30.6940],[104.10978,30.6930],[104.11078,30.6923],[104.11122,30.6920],[104.11125,30.6919],[104.11122,30.6920],[104.11062,30.6927],[104.11039,30.6929],[104.10999,30.6932],[104.10972,30.6934],[104.10949,30.6935],[104.10929,30.6937],[104.10914,30.6938],[104.12881,30.7217],[104.12801,30.7220],[104.12660,30.7223],[104.12516,30.7225],[104.12456,30.7226],[104.12451,30.7226],[104.12442,30.7226],[104.12317,30.7227],[104.12208,30.7228],[104.12109,30.7228],[104.11974,30.7229],[104.11844,30.7230],[104.11744,30.7232],[104.11659,30.7233],[104.11603,30.7234],[104.11594,30.7235],[104.11568,30.7235],[104.11492,30.7237],[104.11391,30.7240],[104.11278,30.7243],[104.11162,30.7246],[104.11075,30.7248],[104.11030,30.7249],[104.10940,30.7251],[104.10857,30.7254],[104.10822,30.7255]"
zheqgm1Cwbwhmdtxems6glF_jrIhkzml,"[104.08578,30.6565],[104.08578,30.6565],[104.08578,30.6565],[104.08551,30.6566],[104.08483,30.6570],[104.08460,30.6571],[104.08448,30.6570],[104.08404,30.6564],[104.08382,30.6562],[104.08371,30.6560],[104.08379,30.6561],[104.08375,30.6561],[104.08383,30.6562],[104.08383,30.6562],[104.08374,30.6556],[104.08372,30.6557],[104.08379,30.6561],[104.08403,30.6564],[104.08402,30.6564],[104.08368,30.6560],[104.08351,30.6558],[104.08277,30.6561],[104.08224,30.6564],[104.08223,30.6564],[104.08217,30.6564],[104.08161,30.6566],[104.08142,30.6567],[104.08090,30.6570],[104.08023,30.6573],[104.07968,30.6576],[104.07882,30.6580],[104.07803,30.6585],[104.07700,30.6586],[104.07548,30.6586],[104.07305,30.6587],[104.07201,30.6587],[104.07192,30.6587],[104.07183,30.6586],[104.07192,30.6587],[104.07184,30.6586],[104.07055,30.6586],[104.06933,30.6586],[104.06839,30.6586],[104.06806,30.6586],[104.06778,30.6585],[104.06762,30.6585],[104.06746,30.6585],[104.06745,30.6591],[104.06747,30.6600],[104.06681,30.6609],[104.06601,30.6620],[104.06576,30.6626],[104.06577,30.6625],[104.06654,30.6704],[104.06620,30.6706],[104.06587,30.6706],[104.06550,30.6701],[104.06507,30.6694],[104.06429,30.6698],[104.06326,30.6702],[104.06249,30.6706],[104.06176,30.6710],[104.06104,30.6714],[104.06094,30.6714],[104.06090,30.6714],[104.06088,30.6714],[104.06086,30.6714],[104.06084,30.6714],[104.06083,30.6714],[104.06082,30.6714],[104.06078,30.6715],[104.06077,30.6715],[104.06075,30.6715],[104.06074,30.6715],[104.06074,30.6715],[104.06006,30.6718],[104.05930,30.6721],[104.05848,30.6725],[104.05780,30.6728],[104.05674,30.6732],[104.05574,30.6737],[104.05451,30.6743],[104.05436,30.6744],[104.05436,30.6744],[104.05441,30.6743],[104.05437,30.6744],[104.05436,30.6744],[104.05440,30.6743],[104.05440,30.6743],[104.05438,30.6743],[104.05438,30.6743],[104.05397,30.6746],[104.05318,30.6750],[104.05233,30.6755],[104.05161,30.6760],[104.05155,30.6760],[104.05153,30.6760],[104.05152,30.6760],[104.05162,30.6759],[104.05157,30.6760],[104.05151,30.6760],[104.05107,30.6759],[104.05057,30.6756],[104.05012,30.6752],[104.04980,30.6750],[104.04987,30.6750],[104.04993,30.6751],[104.05006,30.6752],[104.05006,30.6752],[104.05009,30.6752],[104.05018,30.6753],[104.05020,30.6753],[104.05020,30.6753],[104.05024,30.6753],[104.05045,30.6754],[104.05072,30.6756],[104.05076,30.6756],[104.05079,30.6757],[104.05085,30.6757],[104.05086,30.6757],[104.05076,30.6756],[104.05076,30.6756],[104.05076,30.6756],[104.05100,30.6758],[104.05145,30.6761],[104.05217,30.6767],[104.05304,30.6773],[104.05368,30.6776],[104.05439,30.6780],[104.05495,30.6783],[104.05559,30.6787],[104.05556,30.6787],[104.05552,30.6786],[104.05552,30.6786],[104.05552,30.6786],[104.05552,30.6786],[104.05552,30.6786],[104.05552,30.6786],[104.05552,30.6786],[104.05552,30.6786],[104.05589,30.6789],[104.05642,30.6792],[104.05751,30.6797],[104.05817,30.6800],[104.05910,30.6803],[104.05992,30.6806],[104.06049,30.6809],[104.06094,30.6810],[104.06117,30.6811],[104.06194,30.6814],[104.06204,30.6814],[104.06204,30.6814],[104.06209,30.6814],[104.06214,30.6814],[104.06221,30.6814],[104.06266,30.6814],[104.06334,30.6818],[104.06389,30.6822],[104.06401,30.6823],[104.06401,30.6823],[104.06402,30.6823],[104.06408,30.6823],[104.06463,30.6827],[104.06539,30.6833],[104.06608,30.6841],[104.06349,30.6813],[104.06343,30.6815],[104.06270,30.6815],[104.06164,30.6782],[104.06093,30.6770],[104.06048,30.6763],[104.06025,30.6736],[104.06025,30.6725],[104.05991,30.6720],[104.05930,30.6721],[104.05858,30.6724],[104.05799,30.6727],[104.05766,30.6728],[104.05755,30.6729],[104.06443,30.6697],[104.06378,30.6700],[104.06303,30.6703],[104.06240,30.6706],[104.06147,30.6711],[104.06038,30.6716],[104.05912,30.6722],[104.05817,30.6726],[104.05736,30.6730],[104.05613,30.6735],[104.05528,30.6739],[104.05477,30.6742],[104.05477,30.6742],[104.05477,30.6742],[104.05477,30.6742],[104.05477,30.6742],[104.05477,30.6742],[104.05475,30.6742],[104.05407,30.6745],[104.05350,30.6748],[104.05233,30.6755],[104.05165,30.6759],[104.05090,30.6764],[104.04978,30.6771],[104.04834,30.6782],[104.04767,30.6788],[104.04706,30.6793],[104.04697,30.6794],[104.04696,30.6794],[104.04697,30.6794],[104.04668,30.6797],[104.04611,30.6803],[104.04536,30.6811],[104.04518,30.6814],[104.04518,30.6814],[104.04518,30.6814],[104.04518,30.6814],[104.04518,30.6814],[104.04518,30.6814],[104.04518,30.6814],[104.04519,30.6813],[104.04519,30.6813],[104.04519,30.6813],[104.04519,30.6813],[104.04501,30.6816],[104.04442,30.6815],[104.04438,30.6815],[104.04408,30.6809],[104.04390,30.6806],[104.04373,30.6806],[104.04317,30.6808],[104.05071,30.6530],[104.05008,30.6531],[104.04858,30.6535],[104.04767,30.6540],[104.04489,30.6578],[104.04477,30.6582],[104.04481,30.6583],[104.04481,30.6583],[104.04489,30.6584],[104.04492,30.6584],[104.05424,30.6620],[104.05443,30.6619],[104.05366,30.6621],[104.05317,30.6624],[104.05233,30.6627],[104.05149,30.6631],[104.05091,30.6630],[104.05021,30.6618],[104.05013,30.6617],[104.05013,30.6617],[104.05013,30.6617],[104.05013,30.6617],[104.04996,30.6614],[104.05047,30.6613],[104.05167,30.6609],[104.05247,30.6607],[104.05360,30.6607],[104.05412,30.6607],[104.05415,30.6607],[104.05467,30.6607],[104.05516,30.6607],[104.05563,30.6605],[104.05613,30.6602],[104.05635,30.6600],[104.05655,30.6599],[104.05709,30.6594],[104.05786,30.6587],[104.05856,30.6582],[104.05938,30.6581],[104.05949,30.6581],[104.05949,30.6581],[104.05942,30.6581],[104.05942,30.6581],[104.05942,30.6581],[104.05949,30.6581],[104.06008,30.6581],[104.06055,30.6581],[104.06113,30.6582],[104.06191,30.6582],[104.06301,30.6582],[104.06389,30.6583],[104.06418,30.6583],[104.06418,30.6583],[104.06418,30.6583],[104.06418,30.6583],[104.06418,30.6583],[104.06418,30.6583],[104.06418,30.6583],[104.06418,30.6583],[104.07774,30.6583],[104.07833,30.6581],[104.07850,30.6580],[104.04268,30.6844],[104.04321,30.6837],[104.04383,30.6829],[104.04433,30.6823],[104.04483,30.6816],[104.04567,30.6806],[104.04630,30.6799],[104.04706,30.6792],[104.04787,30.6785],[104.04872,30.6778],[104.04881,30.6777],[104.04884,30.6777],[104.04914,30.6775],[104.04979,30.6770],[104.05088,30.6763],[104.05089,30.6758],[104.05030,30.6753],[104.04969,30.6749],[104.04921,30.6745],[104.04862,30.6741],[104.04866,30.6737],[104.04554,30.6739],[104.04385,30.6748],[104.04346,30.6749],[104.04274,30.6753]"
Ivfyqx2BupqvkfvDsgm7ipw8ipBubony,"[104.12901,30.6589],[104.12820,30.6586],[104.12718,30.6583],[104.12619,30.6580],[104.12462,30.6573],[104.12354,30.6569],[104.12271,30.6565],[104.12178,30.6561],[104.12081,30.6557],[104.11934,30.6551],[104.12389,30.6570],[104.12370,30.6569],[104.12307,30.6567],[104.12187,30.6562],[104.12099,30.6558],[104.12053,30.6556],[104.12019,30.6560],[104.11990,30.6566],[104.11951,30.6573],[104.11917,30.6579],[104.11875,30.6586],[104.11844,30.6591],[104.11804,30.6598],[104.11757,30.6606],[104.11726,30.6609],[104.11647,30.6607],[104.11547,30.6606],[104.11424,30.6612],[104.11394,30.6619],[104.11384,30.6621],[104.11381,30.6622],[104.11327,30.6623],[104.11243,30.6621],[104.11148,30.6618],[104.11063,30.6616],[104.10961,30.6617],[104.10852,30.6617],[104.10804,30.6617],[104.10782,30.6618],[104.10738,30.6618],[104.10692,30.6618],[104.10603,30.6618],[104.10490,30.6618],[104.10425,30.6619],[104.10330,30.6619],[104.10208,30.6620],[104.10065,30.6620],[104.10033,30.6621],[104.10033,30.6621],[104.09996,30.6621],[104.09948,30.6621],[104.09894,30.6622],[104.09815,30.6622],[104.09742,30.6623],[104.09708,30.6623],[104.09699,30.6623],[104.09672,30.6624],[104.09664,30.6624],[104.09655,30.6626],[104.08324,30.6595],[104.08355,30.6600],[104.08373,30.6603],[104.08374,30.6603],[104.08374,30.6603],[104.08374,30.6603],[104.08374,30.6603],[104.08374,30.6603],[104.08374,30.6603],[104.08374,30.6603],[104.08374,30.6603],[104.08388,30.6606],[104.08429,30.6613],[104.08500,30.6624],[104.08563,30.6633],[104.08606,30.6640],[104.08538,30.6645],[104.08530,30.6646],[104.08503,30.6647],[104.08455,30.6649],[104.08383,30.6652],[104.08298,30.6656],[104.08215,30.6660],[104.08119,30.6665],[104.08050,30.6668],[104.07992,30.6670],[104.07992,30.6670],[104.07992,30.6670],[104.07992,30.6670],[104.07992,30.6670],[104.07992,30.6670],[104.07992,30.6670],[104.07992,30.6670],[104.07992,30.6670],[104.07992,30.6670],[104.07971,30.6671],[104.07892,30.6675],[104.07800,30.6679],[104.07695,30.6684],[104.07578,30.6690],[104.07522,30.6692],[104.07490,30.6693],[104.07490,30.6693],[104.07490,30.6693],[104.07479,30.6694],[104.07467,30.6694],[104.07467,30.6694],[104.07461,30.6695],[104.07426,30.6696],[104.07446,30.6700],[104.07482,30.6705],[104.07505,30.6709],[104.07518,30.6711],[104.08043,30.6705],[104.08043,30.6705],[104.08043,30.6705],[104.08043,30.6705],[104.08043,30.6705],[104.08043,30.6705],[104.08043,30.6705],[104.08075,30.6704],[104.08114,30.6702],[104.08114,30.6702],[104.08114,30.6702],[104.08114,30.6702],[104.08114,30.6702],[104.08114,30.6702],[104.08114,30.6702],[104.08114,30.6702],[104.08114,30.6702],[104.08114,30.6702],[104.08115,30.6702],[104.08135,30.6701],[104.08197,30.6698],[104.08250,30.6696],[104.08313,30.6693],[104.08363,30.6691],[104.08433,30.6688],[104.08497,30.6685],[104.08554,30.6683],[104.08667,30.6678],[104.08755,30.6674],[104.08766,30.6668],[104.08708,30.6659],[104.08613,30.6644],[104.08546,30.6633],[104.08488,30.6624],[104.08440,30.6616],[104.08423,30.6614],[104.08423,30.6614],[104.08423,30.6614],[104.08423,30.6614],[104.08423,30.6614],[104.08423,30.6614],[104.08416,30.6613],[104.08396,30.6609],[104.08353,30.6602],[104.08312,30.6595],[104.08257,30.6587],[104.08191,30.6577],[104.08103,30.6563],[104.08070,30.6558],[104.08065,30.6557],[104.08065,30.6557],[104.08065,30.6557],[104.11078,30.6546],[104.11078,30.6552],[104.11077,30.6560],[104.11077,30.6566],[104.11077,30.6569],[104.11077,30.6570],[104.11078,30.6573],[104.11078,30.6575],[104.09205,30.6614],[104.09205,30.6614],[104.09205,30.6614],[104.09205,30.6614],[104.09205,30.6614],[104.09205,30.6614],[104.09205,30.6614],[104.09205,30.6614],[104.09221,30.6612],[104.09280,30.6609],[104.09337,30.6606],[104.09342,30.6606],[104.09342,30.6606],[104.09343,30.6606],[104.09350,30.6606],[104.09381,30.6605],[104.09406,30.6604],[104.09449,30.6605],[104.09483,30.6610],[104.09516,30.6614],[104.09554,30.6618],[104.09630,30.6623],[104.09735,30.6622],[104.09856,30.6621],[104.09984,30.6620],[104.10123,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10204,30.6619],[104.10211,30.6619],[104.10264,30.6619],[104.10324,30.6618],[104.10336,30.6618]"
Lrhpjv5twkpvklpFmml1fsx_opOtavll,"[104.04268,30.6782],[104.04322,30.6791],[104.04394,30.6802],[104.04451,30.6812],[104.04470,30.6815],[104.04470,30.6815],[104.04477,30.6816],[104.04443,30.6823],[104.04381,30.6831],[104.04320,30.6839],[104.04827,30.6783],[104.04826,30.6783],[104.04785,30.6786],[104.04717,30.6792],[104.04645,30.6799],[104.04572,30.6807],[104.04517,30.6814],[104.04513,30.6814],[104.04513,30.6814],[104.04513,30.6814],[104.04513,30.6814],[104.04513,30.6814],[104.04513,30.6814],[104.04512,30.6814],[104.04505,30.6815],[104.04466,30.6820],[104.04408,30.6827],[104.04338,30.6836],[104.04263,30.6846],[104.04268,30.6649],[104.04380,30.6644],[104.04487,30.6638],[104.04585,30.6634],[104.04679,30.6629],[104.04727,30.6627],[104.04727,30.6627],[104.04727,30.6627],[104.04727,30.6627],[104.04768,30.6625],[104.04848,30.6621],[104.04911,30.6618],[104.04914,30.6617],[104.04914,30.6617],[104.04915,30.6617],[104.04958,30.6616],[104.05048,30.6613],[104.05162,30.6609],[104.05251,30.6607],[104.05253,30.6607],[104.05253,30.6607],[104.05253,30.6607],[104.05265,30.6607],[104.05349,30.6607],[104.05467,30.6607],[104.05551,30.6606],[104.05566,30.6605],[104.05570,30.6605],[104.05570,30.6605],[104.05573,30.6605],[104.05608,30.6602],[104.05672,30.6597],[104.05751,30.6590],[104.05827,30.6583],[104.05925,30.6581],[104.06039,30.6581],[104.06146,30.6582],[104.06254,30.6582],[104.06376,30.6582],[104.06501,30.6579],[104.06554,30.6579],[104.06599,30.6579],[104.06501,30.6579],[104.06501,30.6579],[104.06501,30.6579],[104.07792,30.6583],[104.07880,30.6579],[104.07974,30.6574],[104.08041,30.6571],[104.08052,30.6571],[104.08093,30.6569],[104.08144,30.6566],[104.08190,30.6564],[104.08298,30.6559],[104.08337,30.6557],[104.08337,30.6557],[104.08337,30.6557],[104.08337,30.6557],[104.08337,30.6557],[104.08337,30.6557],[104.08337,30.6557],[104.08340,30.6557],[104.08394,30.6555],[104.08475,30.6551],[104.08561,30.6547],[104.08623,30.6544],[104.09891,30.6545],[104.09903,30.6547],[104.09944,30.6553],[104.10024,30.6564],[104.10055,30.6569],[104.10060,30.6574],[104.10016,30.6576],[104.09936,30.6580],[104.09845,30.6584],[104.09763,30.6588],[104.09682,30.6592],[104.09589,30.6596],[104.09479,30.6601],[104.09455,30.6603],[104.09452,30.6605],[104.09485,30.6610],[104.09528,30.6616],[104.09576,30.6620],[104.09636,30.6623],[104.09642,30.6623],[104.09248,30.6587],[104.09248,30.6587],[104.09231,30.6583],[104.09205,30.6579],[104.09186,30.6577],[104.09147,30.6572],[104.09132,30.6572],[104.09059,30.6576],[104.08948,30.6581],[104.08865,30.6585],[104.08816,30.6587],[104.08753,30.6590],[104.08667,30.6594],[104.08593,30.6598],[104.08523,30.6601],[104.08446,30.6605],[104.08417,30.6611],[104.08473,30.6620],[104.08543,30.6631],[104.08613,30.6642],[104.08685,30.6653],[104.08750,30.6664],[104.08823,30.6675],[104.08897,30.6687],[104.08974,30.6699],[104.08997,30.6703],[104.08998,30.6703],[104.08998,30.6703],[104.09013,30.6705],[104.09044,30.6710],[104.09084,30.6715],[104.09141,30.6722],[104.09227,30.6733],[104.09293,30.6741],[104.09356,30.6749],[104.09420,30.6757],[104.09487,30.6765],[104.09559,30.6774],[104.09635,30.6784],[104.09707,30.6793],[104.09777,30.6801],[104.09847,30.6810],[104.09919,30.6819],[104.09980,30.6826],[104.10034,30.6833],[104.10075,30.6839],[104.10148,30.6847],[104.10225,30.6851],[104.10290,30.6846],[104.10325,30.6840],[104.10351,30.6836],[104.11085,30.6690],[104.11086,30.6690],[104.11093,30.6688],[104.11116,30.6682],[104.11145,30.6675],[104.11150,30.6673],[104.11162,30.6670],[104.11189,30.6664],[104.11234,30.6653],[104.11266,30.6645],[104.11287,30.6640],[104.11311,30.6634],[104.11318,30.6632],[104.11322,30.6631],[104.11322,30.6631],[104.11330,30.6629],[104.11354,30.6623],[104.11382,30.6617],[104.11395,30.6613],[104.11395,30.6613],[104.11395,30.6613],[104.11395,30.6613],[104.11397,30.6613],[104.11415,30.6608],[104.11448,30.6600],[104.11477,30.6591],[104.11484,30.6583],[104.11483,30.6579],[104.11483,30.6572],[104.11480,30.6559],[104.11479,30.6549]"
Cpcvnu6Gipovtciwjoraomv0lwCiisks,"[104.07525,30.6539],[104.07434,30.6543],[104.07400,30.6544],[104.07394,30.6545],[104.06892,30.6592],[104.06892,30.6592],[104.06892,30.6594],[104.06892,30.6594],[104.06892,30.6592],[104.06893,30.6587],[104.06872,30.6586],[104.06750,30.6584],[104.06632,30.6584],[104.06522,30.6583],[104.06488,30.6583],[104.06488,30.6583],[104.06488,30.6583],[104.06488,30.6583],[104.06488,30.6583],[104.06488,30.6583],[104.06475,30.6583],[104.06454,30.6583],[104.06422,30.6581],[104.06429,30.6575],[104.06427,30.6567],[104.06505,30.6563],[104.06577,30.6562],[104.06582,30.6546],[104.06582,30.6537]"
